Seen,Unseen,Overall,Acc,dataset,method,known_cls_ratio,labeled_ratio,seed
7.3597,85.8008,11.2818,75.26,banking,ADB,0.25,0.1,0
7.3862,85.9192,11.3128,75.55,banking,ADB,0.25,0.1,0
7.3862,85.9192,11.3128,75.55,banking,ADB,0.25,0.1,0
7.3862,85.9192,11.3128,75.55,banking,ADB,0.25,0.1,0
7.3862,85.9192,11.3128,75.55,banking,ADB,0.25,0.1,0
7.3862,85.9192,11.3128,75.55,banking,ADB,0.25,0.1,0
7.3862,85.9192,11.3128,75.55,banking,ADB,0.25,0.1,0
62.5268,83.0224,63.5516,74.77,banking,ADB,0.25,0.1,0
71.8413,85.3069,72.5145,79.29,banking,ADB,0.25,1.0,0
