Seen,Unseen,Overall,Acc,dataset,method,known_cls_ratio,labeled_ratio,seed
6.2373,85.897,10.2203,75.39,banking,ADB,0.25,0.1,0
6.2373,85.897,10.2203,75.39,banking,ADB,0.25,0.1,0
16.2578,63.7667,18.6333,47.69,banking,ADB,0.25,0.1,0
16.2578,63.7667,18.6333,47.69,banking,ADB,0.25,0.1,0
26.6029,33.2546,26.9355,29.09,banking,ADB,0.25,0.2,0
26.6029,33.2546,26.9355,29.09,banking,ADB,0.25,0.2,0
54.1062,89.9959,55.9007,83.96,banking,ADB,0.25,0.2,0
