F1-known,F1-open,F1,Acc,dataset,method,known_cls_ratio,labeled_ratio,seed
48.2927,78.5859,63.4393,69.71,snips,DeepUnk,0.1,0.2,0
54.6448,83.9458,69.2953,76.29,snips,DeepUnk,0.2,0.6,0
54.6448,83.9458,69.2953,76.29,snips,DeepUnk,0.1,0.6,0
51.0309,81.2253,66.1281,72.86,snips,DeepUnk,0.1,0.8,0
51.0309,81.2253,66.1281,72.86,snips,DeepUnk,0.2,0.8,0
34.4426,20.1007,32.3938,28.68,stackoverflow,DeepUnk,0.3,0.8,0
52.2193,82.0059,67.1126,73.86,snips,DeepUnk,0.2,0.4,0
1.9764,17.5139,3.7028,10.26,banking,DeepUnk,0.1,0.2,0
13.8812,23.9831,17.2485,18.32,stackoverflow,DeepUnk,0.1,0.2,0
1.0714,15.674000000000001,5.9389,8.75,atis,DeepUnk,0.1,0.2,0
2.0685,27.9325,3.685,15.91,clinc,DeepUnk,0.1,0.2,0
1.5067,0.0,1.3393,1.56,banking,DOC,0.1,0.2,0
23.1527,68.6117,45.8822,55.43,snips,DOC,0.1,0.2,0
12.6425,24.6523,16.6457,18.05,stackoverflow,DOC,0.1,0.2,0
1.087,13.7131,5.2957,7.63,atis,DOC,0.1,0.2,0
0.9421,0.0,0.8833,0.84,clinc,DOC,0.1,0.2,0
0.0,94.5205,10.5023,89.61,banking,MSP,0.1,0.2,0
26.518,0.0,13.259,15.29,snips,MSP,0.1,0.2,0
12.8087,0.0,8.5392,6.22,stackoverflow,MSP,0.1,0.2,0
0.9585,0.0,0.639,0.34,atis,MSP,0.1,0.2,0
0.0,94.7368,5.9211,90.0,clinc,MSP,0.1,0.2,0
1.0638,84.3964,10.323,73.02,banking,ADB,0.1,0.2,0
54.0925,88.4718,71.2822,81.57,snips,ADB,0.1,0.2,0
0.0,94.7368,31.5789,90.0,stackoverflow,ADB,0.1,0.2,0
0.0,99.4924,49.7462,98.99,atis,ADB,0.1,0.2,0
11.4511,89.3219,16.317999999999998,81.11,clinc,ADB,0.1,0.2,0
4.4838,13.1987,5.4521,8.77,banking,DeepUnk,0.1,0.4,0
