Seen,Unseen,Overall,Acc,dataset,method,known_cls_ratio,labeled_ratio,seed
57.6187,35.6562,56.5206,40.23,banking,MSP,0.25,1.0,0
47.59,16.2055,46.0208,30.58,banking,MSP,0.25,1.0,3
0.0,85.9259,4.2963,75.32,banking,MSP,0.25,0.1,3
6.5023,0.0,6.1772,4.03,banking,DOC,0.25,1.0,0
0.0,85.9259,4.2963,75.32,banking,DOC,0.25,1.0,0
71.26100000000002,89.7033,72.1832,84.12,banking,DOC,0.25,1.0,0
0.0,85.9259,4.2963,75.32,banking,DOC,0.25,1.0,0
71.2071,89.97399999999998,72.1455,84.42,banking,DOC,0.25,1.0,0
64.4551,71.1697,64.7908,64.68,banking,DOC,0.25,1.0,0
64.4551,71.1697,64.7908,64.68,banking,DOC,0.25,1.0,0
64.4551,71.1697,64.7908,64.68,banking,DOC,0.25,1.0,0
4.3532,0.0,4.1355,3.57,banking,DOC,0.25,1.0,1
